step,timestamp,target[0],actual[0],error[0],P[0],I[0],D[0],integral[0],output[0],target[1],actual[1],error[1],P[1],I[1],D[1],integral[1],output[1]
51,0.104,0,8.41453e-05,-8.41453e-05,-0.000841453,-0,-3.66913e-05,-7.78166e-07,-0.000878145,0,-1.69859e-05,1.69859e-05,0.000169859,0,8.13426e-06,3.44277e-07,0.000177993
52,0.106,0,9.12711e-05,-9.12711e-05,-0.000912711,-0,-3.5629e-05,-9.53582e-07,-0.00094834,0,-1.94784e-05,1.94784e-05,0.000194784,0,1.24626e-05,3.80741e-07,0.000207246
53,0.108,0,9.88622e-05,-9.88622e-05,-0.000988622,-0,-3.79551e-05,-1.14372e-06,-0.00102658,0,-2.18581e-05,2.18581e-05,0.000218581,0,1.18986e-05,4.22077e-07,0.00023048
54,0.11,0,0.00010702,-0.00010702,-0.0010702,-0,-4.07915e-05,-1.3496e-06,-0.001111,-0,-2.44457e-05,2.44457e-05,0.000244457,0,1.29378e-05,4.68381e-07,0.000257394
55,0.112,0,0.000115739,-0.000115739,-0.00115739,-0,-4.35937e-05,-1.57236e-06,-0.00120099,0,-2.69426e-05,2.69426e-05,0.000269426,0,1.24849e-05,5.19769e-07,0.000281911
56,0.114,0,0.000125171,-0.000125171,-0.00125171,-0,-4.71608e-05,-1.81327e-06,-0.00129887,-0,-2.96593e-05,2.96593e-05,0.000296593,0,1.35835e-05,5.76371e-07,0.000310177
57,0.116,0,0.000135296,-0.000135296,-0.00135296,-0,-5.06209e-05,-2.07374e-06,-0.00140358,0,-3.23111e-05,3.23111e-05,0.000323111,0,1.32586e-05,6.38342e-07,0.000336369
58,0.118,0,0.00014631,-0.00014631,-0.0014631,-0,-5.50731e-05,-2.35534e-06,-0.00151817,-0,-3.52157e-05,3.52157e-05,0.000352157,0,1.4523e-05,7.05868e-07,0.00036668
59,0.12,0,0.00015817,-0.00015817,-0.0015817,-0,-5.92982e-05,-2.65982e-06,-0.001641,0,-3.80794e-05,3.80794e-05,0.000380794,0,1.43188e-05,7.79164e-07,0.000395113
60,0.122,-0,0.000170043,-0.000170043,-0.00170043,-0,-5.9367e-05,-2.98803e-06,-0.0017598,0,-4.08848e-05,4.08848e-05,0.000408848,0,1.4027e-05,8.58128e-07,0.000422875
61,0.124,-0,0.000181904,-0.000181904,-0.00181904,-0,-5.9302e-05,-3.33998e-06,-0.00187834,-0,-4.3747e-05,4.3747e-05,0.00043747,0,1.43109e-05,9.4276e-07,0.000451781
62,0.126,-0,0.00019378,-0.00019378,-0.0019378,-0,-5.93807e-05,-3.71566e-06,-0.00199718,0,-4.65425e-05,4.65425e-05,0.000465425,0,1.39772e-05,1.03305e-06,0.000479402
63,0.128,-0,0.000205641,-0.000205641,-0.00205641,-0,-5.93057e-05,-4.11509e-06,-0.00211571,-0,-4.94031e-05,4.94031e-05,0.000494031,0,1.4303e-05,1.12899e-06,0.000508334
64,0.13,0,0.000219166,-0.000219166,-0.00219166,-0,-6.76254e-05,-4.53989e-06,-0.00225929,-0,-5.30259e-05,5.30259e-05,0.000530259,0,1.81141e-05,1.23142e-06,0.000548373
65,0.132,-0,0.000231512,-0.000231512,-0.00231512,-0,-6.17296e-05,-4.99057e-06,-0.00237685,0,-5.00208e-05,5.00208e-05,0.000500208,0,-1.50255e-05,1.33447e-06,0.000485182
66,0.134,-0,0.000239392,-0.000239392,-0.00239392,-0,-3.93994e-05,-5.46147e-06,-0.00243332,0,-4.31917e-05,4.31917e-05,0.000431917,0,-3.41456e-05,1.42768e-06,0.000397771
67,0.136,-0,0.000240321,-0.000240321,-0.00240321,-0,-4.64613e-06,-5.94119e-06,-0.00240786,-0,-2.49051e-05,2.49051e-05,0.000249051,0,-9.14327e-05,1.49578e-06,0.000157619
68,0.138,-0,0.000235299,-0.000235299,-0.00235299,-0,2.51111e-05,-6.41681e-06,-0.00232788,-0,-5.52249e-06,5.52249e-06,5.52249e-05,0,-9.69132e-05,1.52621e-06,-4.16884e-05
69,0.14,0,0.000213916,-0.000213916,-0.00213916,-0,0.000106912,-6.86602e-06,-0.00203225,0,1.41339e-05,-1.41339e-05,-0.000141339,0,-9.82821e-05,1.5176e-06,-0.000239621
70,0.142,-0,0.000189844,-0.000189844,-0.00189844,-0,0.000120361,-7.26978e-06,-0.00177808,-0,3.38117e-05,-3.38117e-05,-0.000338117,0,-9.83887e-05,1.46965e-06,-0.000436505
71,0.144,-0,0.000165013,-0.000165013,-0.00165013,-0,0.000124156,-7.62464e-06,-0.00152598,-0,5.22105e-05,-5.22105e-05,-0.000522105,0,-9.19942e-05,1.38363e-06,-0.000614099
72,0.146,-0,0.000138667,-0.000138667,-0.00138667,-0,0.000131733,-7.92832e-06,-0.00125493,-0,6.92677e-05,-6.92677e-05,-0.000692677,0,-8.52859e-05,1.26215e-06,-0.000777963
73,0.148,-0,0.000113273,-0.000113273,-0.00113273,-0,0.000126969,-8.18026e-06,-0.00100576,-0,8.51024e-05,-8.51024e-05,-0.000851024,0,-7.91736e-05,1.10778e-06,-0.000930198
74,0.15,-0,8.76292e-05,-8.76292e-05,-0.000876292,-0,0.000128217,-8.38116e-06,-0.000748075,-0,9.72696e-05,-9.72696e-05,-0.000972696,0,-6.08359e-05,9.25408e-07,-0.00103353
75,0.152,-0,6.3956e-05,-6.3956e-05,-0.00063956,-0,0.000118366,-8.53275e-06,-0.000521193,0,0.000108536,-0.000108536,-0.00108536,0,-5.63304e-05,7.19603e-07,-0.00114169
76,0.154,-0,4.04863e-05,-4.04863e-05,-0.000404863,-0,0.000117348,-8.63719e-06,-0.000287514,0,0.000117545,-0.000117545,-0.00117545,0,-4.50478e-05,4.93522e-07,-0.0012205
77,0.156,-0,1.98237e-05,-1.98237e-05,-0.000198237,-0,0.000103313,-8.6975e-06,-9.49247e-05,0,0.000125565,-0.000125565,-0.00125565,0,-4.00967e-05,2.50412e-07,-0.00129574
78,0.158,-0,1.36979e-07,-1.36979e-07,-1.36979e-06,-0,9.84338e-05,-8.71746e-06,9.7064e-05,0,0.000131738,-0.000131738,-0.00131738,-0,-3.08674e-05,-6.89065e-09,-0.00134825
79,0.16,-0,-1.82518e-05,1.82518e-05,0.000182518,-0,9.19438e-05,-8.69934e-06,0.000274462,0,0.000138802,-0.000138802,-0.00138802,-0,-3.5319e-05,-2.77431e-07,-0.00142334
80,0.162,-0,-3.58457e-05,3.58457e-05,0.000358457,-0,8.79695e-05,-8.64525e-06,0.000446426,0,0.000144494,-0.000144494,-0.00144494,-0,-2.84627e-05,-5.60727e-07,-0.00147341
81,0.164,-0,-5.26863e-05,5.26863e-05,0.000526863,-0,8.42029e-05,-8.55671e-06,0.000611066,0,0.000151039,-0.000151039,-0.00151039,-0,-3.27219e-05,-8.5626e-07,-0.00154311
82,0.166,-0,-6.97148e-05,6.97148e-05,0.000697148,-0,8.51426e-05,-8.43431e-06,0.00078229,-0,0.000165029,-0.000165029,-0.00165029,-0,-6.99498e-05,-1.17233e-06,-0.00172024
83,0.168,-0,-8.67558e-05,8.67558e-05,0.000867558,-0,8.52052e-05,-8.27784e-06,0.000952764,-0,0.0001793,-0.0001793,-0.001793,-0,-7.13552e-05,-1.51666e-06,-0.00186435
84,0.17,0,-0.000114752,0.000114752,0.00114752,-0,0.000139981,-8.07633e-06,0.0012875,0,0.000190963,-0.000190963,-0.00190963,-0,-5.83175e-05,-1.88692e-06,-0.00196795
85,0.172,-0,-0.000142401,0.000142401,0.00142401,-0,0.000138243,-7.81918e-06,0.00156225,0,0.000202984,-0.000202984,-0.00202984,-0,-6.01058e-05,-2.28087e-06,-0.00208995
86,0.174,0,-0.00017075,0.00017075,0.0017075,-0,0.000141747,-7.50603e-06,0.00184925,0,0.000222895,-0.000222895,-0.00222895,-0,-9.95532e-05,-2.70675e-06,-0.0023285
