step,timestamp,target[0],actual[0],error[0],P[0],I[0],D[0],integral[0],output[0],target[1],actual[1],error[1],P[1],I[1],D[1],integral[1],output[1],target[2],actual[2],error[2],P[2],I[2],D[2],integral[2],output[2]
167,0.336,-0.108844,5.88254,-5.99138,-2.99569,-0,-27.351,-0.293696,-10,-0.0883727,13.0954,-13.1838,-6.59189,-0,-25.2146,-0.44919,-10,0.197217,10.5187,-10.3215,-5.16073,-0,-46.1241,-0.527987,-10
168,0.338,-0.176513,-3.59151,3.415,1.7075,-0,23.5159,-0.296273,10,-0.0931268,3.14426,-3.23738,-1.61869,-0,24.866,-0.465612,10,0.26964,-7.94079,8.21043,4.10522,-0,46.3297,-0.530098,10
169,0.34,-0.284602,8.22321,-8.50782,-4.25391,-0,-29.807,-0.301366,-10,-0.0661786,13.1689,-13.2351,-6.61756,-0,-24.9943,-0.482084,-10,0.350781,5.28256,-4.93178,-2.46589,-0,-32.8555,-0.526819,-10
170,0.342,-0.358823,-10.2207,9.86186,4.93093,-0,45.9242,-0.300012,10,-0.0481534,-5.52967,5.48152,2.74076,-0,46.7916,-0.489838,10,0.406977,-2.02046,2.42743,1.21372,-0,18.398,-0.529323,10
171,0.344,-0.389789,8.48092,-8.87071,-4.43536,-0,-46.8314,-0.29902,-10,-0.0422172,12.9655,-13.0077,-6.50384,-0,-46.223,-0.497364,-10,0.432006,7.5783,-7.14629,-3.57315,-0,-23.9343,-0.534042,-10
172,0.346,-0.406831,-9.98184,9.57501,4.78751,-0,46.1143,-0.298316,10,-0.0228595,-5.73627,5.71341,2.8567,-0,46.8027,-0.504658,10,0.429691,-0.660323,1.09001,0.545007,-0,20.5908,-0.540099,10
173,0.348,-0.387947,8.52652,-8.91447,-4.45723,-0,-46.2237,-0.297656,-10,-0.0176364,5.53859,-5.55622,-2.77811,-0,-28.1741,-0.504501,-10,0.405584,10.1476,-9.74197,-4.87098,-0,-27.08,-0.54875,-10
174,0.35,-0.400949,-9.91042,9.50947,4.75473,-0,46.0598,-0.297061,10,0.0243136,-3.51056,3.53487,1.76744,-0,22.7277,-0.506522,10,0.376636,1.52613,-1.1495,-0.574748,-0,21.4812,-0.559642,10
175,0.352,-0.379792,8.56469,-8.94449,-4.47224,-0,-46.1349,-0.296496,-10,0.0750025,6.68723,-6.61222,-3.30611,-0,-25.3677,-0.5096,-10,0.304789,12.7221,-12.4173,-6.20867,-0,-28.1696,-0.573209,-10
176,0.354,-0.393381,-1.07761,0.684233,0.342116,-0,24.0718,-0.304756,10,0.159412,-1.82804,1.98745,0.993727,-0,21.4992,-0.514224,10,0.233969,-5.82069,6.05466,3.02733,-0,46.18,-0.579571,10
