step,timestamp,target[0],actual[0],error[0],P[0],I[0],D[0],integral[0],output[0],target[1],actual[1],error[1],P[1],I[1],D[1],integral[1],output[1]
104,0.21,0,-0.000365368,0.000365368,0,-0,-0,-1.75399e-05,0,0,-0.00104112,0.00104112,0,0,0,2.77173e-06,0
105,0.212,0,-0.000958135,0.000958135,0,-0,0,-1.62164e-05,0,0,-0.00136,0.00136,0,0,0,5.17286e-06,0
106,0.214,0,-0.000821252,0.000821252,0,-0,-0,-1.44371e-05,0,0,-0.00155132,0.00155132,0,0,0,8.08417e-06,0
107,0.216,0,-0.00124685,0.00124685,0,-0,0,-1.2369e-05,0,0,-0.0016874,0.0016874,0,0,0,1.13229e-05,0
108,0.218,0,-0.00101325,0.00101325,0,-0,-0,-1.01089e-05,0,0,-0.00196914,0.00196914,0,0,0,1.49794e-05,0
109,0.22,0,-0.00131935,0.00131935,0,-0,0,-7.77626e-06,0,0,-0.00185019,0.00185019,0,0,-0,1.87988e-05,0
110,0.222,0,-0.00101336,0.00101336,0,-0,-0,-5.44355e-06,0,0,-0.00223297,0.00223297,0,0,0,2.28819e-05,0
111,0.224,0,-0.00126856,0.00126856,0,-0,0,-3.16163e-06,0,0,-0.00195753,0.00195753,0,0,-0,2.70724e-05,0
112,0.226,0,-0.000907063,0.000907063,0,-0,-0,-9.86011e-07,0,0,-0.00240403,0.00240403,0,0,0,3.1434e-05,0
113,0.228,0,-0.00107315,0.00107315,0,0,0,9.94206e-07,0,0,-0.00193232,0.00193232,0,0,-0,3.57703e-05,0
114,0.23,0,-0.000613616,0.000613616,0,0,-0,2.68098e-06,0,0,-0.00214661,0.00214661,0,0,0,3.98493e-05,0
115,0.232,0,-0.000739094,0.000739094,0,0,0,4.03369e-06,0,0,-0.00127142,0.00127142,0,0,-0,4.32673e-05,0
116,0.234,0,-0.000120168,0.000120168,0,0,-0,4.89295e-06,0,0,-0.000962244,0.000962244,0,0,-0,4.5501e-05,0
117,0.236,0,-9.90475e-05,9.90475e-05,0,0,-0,5.11216e-06,0,0,-0.000111243,0.000111243,0,0,-0,4.65744e-05,0
118,0.238,0,0.00019384,-0.00019384,-0,0,-0,5.01737e-06,0,0,0.000487276,-0.000487276,-0,0,-0,4.61984e-05,0
119,0.24,0,0.00033767,-0.00033767,-0,0,-0,4.48586e-06,0,0,0.000824793,-0.000824793,-0,0,-0,4.48863e-05,0
