step,timestamp,target,actual,error,P,I,D,integral,output
177,0.356,0,-0.0914035,0.0914035,0,0,-0,0.00795719,0
178,0.358,0,-0.145765,0.145765,0,0,0,0.00819436,0
179,0.36,0,-0.182114,0.182114,0,0,0,0.00852224,0
180,0.362,0,-0.214005,0.214005,0,0,0,0.00891836,0
181,0.364,0,-0.121184,0.121184,0,0,-0,0.00925355,0
182,0.366,0,-0.169884,0.169884,0,0,0,0.00954462,0
183,0.368,0,-0.0971376,0.0971376,0,0,-0,0.00981164,0
184,0.37,0,-0.124666,0.124666,0,0,0,0.0100334,0
185,0.372,0,-0.0322353,0.0322353,0,0,-0,0.0101903,0
186,0.374,0,-0.0792867,0.0792867,0,0,0,0.0103019,0
187,0.376,0,-0.110998,0.110998,0,0,0,0.0104922,0
188,0.378,0,-0.171462,0.171462,0,0,0,0.0107746,0
189,0.38,0,-0.0879086,0.0879086,0,0,-0,0.011034,0
190,0.382,0,-0.150595,0.150595,0,0,0,0.0112725,0
191,0.384,0,-0.0776902,0.0776902,0,0,-0,0.0115008,0
192,0.386,0,-0.137669,0.137669,0,0,0,0.0117161,0
193,0.388,0,-0.182889,0.182889,0,0,0,0.0120367,0
194,0.39,0,-0.202978,0.202978,0,0,0,0.0124226,0
195,0.392,0,-0.109138,0.109138,0,0,-0,0.0127347,0
196,0.394,0,-0.149099,0.149099,0,0,0,0.0129929,0
197,0.396,0,-0.0595895,0.0595895,0,0,-0,0.0132016,0
198,0.398,0,-0.110067,0.110067,0,0,0,0.0133713,0
199,0.4,0,-0.0324371,0.0324371,0,0,-0,0.0135138,0
200,0.402,0,-0.0888989,0.0888989,0,0,0,0.0136351,0
201,0.404,0,0.0402989,-0.0402989,-0,0,-0,0.0136837,0
202,0.406,0,-0.0364002,0.0364002,0,0,0,0.0136798,0
203,0.408,0,0.0303133,-0.0303133,-0,0,-0,0.0136859,0
204,0.41,0,-0.0420562,0.0420562,0,0,0,0.0136976,0
205,0.412,0,0.073733,-0.073733,-0,0,-0,0.0136659,0
206,0.414,0,-0.0628159,0.0628159,0,0,0,0.013655,0
207,0.416,0,0.0638321,-0.0638321,-0,0,-0,0.013654,0
208,0.418,0,-0.0747362,0.0747362,0,0,0,0.0136649,0
209,0.42,0,0.0559888,-0.0559888,-0,0,-0,0.0136837,0
210,0.422,0,-0.0797658,0.0797658,0,0,0,0.0137074,0
211,0.424,0,0.0524378,-0.0524378,-0,0,-0,0.0137348,0
212,0.426,0,-0.0568036,0.0568036,0,0,0,0.0137391,0
213,0.428,0,0.0755496,-0.0755496,-0,0,-0,0.0137204,0
214,0.43,0,-0.052579,0.052579,0,0,0,0.0136974,0
215,0.432,0,0.0789617,-0.0789617,-0,0,-0,0.013671,0
216,0.434,0,-0.0506126,0.0506126,0,0,0,0.0136427,0
217,0.436,0,-0.0886202,0.0886202,0,0,0,0.0137819,0
218,0.438,0,-0.122943,0.122943,0,0,0,0.0139935,0
